"@babel/plugin-transform-property-literals","7.22.5",
"@babel/plugin-transform-regenerator","7.22.10",
"@babel/plugin-transform-reserved-words","7.22.5",
"@babel/plugin-transform-runtime","7.22.9",
"@babel/plugin-transform-shorthand-properties","7.22.5",
"@babel/plugin-transform-spread","7.22.5",
"@babel/plugin-transform-sticky-regex","7.22.5",
"@babel/plugin-transform-template-literals","7.22.5",
"@babel/plugin-transform-typeof-symbol","7.22.5",
"@babel/plugin-transform-unicode-escapes","7.22.10",
"@babel/plugin-transform-unicode-property-regex","7.22.5",
"@babel/plugin-transform-unicode-regex","7.22.5",
"@babel/plugin-transform-unicode-sets-regex","7.22.5",
"@babel/preset-env","7.22.9",
"@babel/preset-modules","0.1.6",
"@babel/regjsgen","0.8.0",
"@babel/runtime","7.22.6",
"@babel/template","7.16.0",
"@babel/template","7.22.15",
"@babel/template","7.22.5",
"@babel/traverse","7.16.3",
"@babel/traverse","7.23.2",
"@babel/types","7.16.0",
"@babel/types","7.23.0",
"@cnakazawa/watch","1.0.4",
"@colors/colors","1.5.0",
"@colors/colors","1.5.0",
"@cspotcode/source-map-support","0.8.1",
"@cypress/request","3.0.1",
"@cypress/xvfb","1.2.4",
"@dabh/diagnostics","2.0.3",
"@discoveryjs/json-ext","0.5.7",
"@esbuild/android-arm","0.18.17",
"@esbuild/android-arm64","0.18.17",
"@esbuild/android-x64","0.18.17",
"@esbuild/darwin-arm64","0.18.17",
"@esbuild/darwin-x64","0.18.17",
"@esbuild/freebsd-arm64","0.18.17",
"@esbuild/freebsd-x64","0.18.17",
"@esbuild/linux-arm","0.18.17",
"@esbuild/linux-arm64","0.18.17",
"@esbuild/linux-ia32","0.18.17",
"@esbuild/linux-loong64","0.18.17",
"@esbuild/linux-mips64el","0.18.17",
"@esbuild/linux-ppc64","0.18.17",
"@esbuild/linux-riscv64","0.18.17",
"@esbuild/linux-s390x","0.18.17",
"@esbuild/linux-x64","0.18.17",
"@esbuild/netbsd-x64","0.18.17",
"@esbuild/openbsd-x64","0.18.17",
"@esbuild/sunos-x64","0.18.17",
"@esbuild/win32-arm64","0.18.17",
"@esbuild/win32-ia32","0.18.17",
"@esbuild/win32-x64","0.18.17",
"@gar/promisify","1.1.3",
"@isaacs/cliui","8.0.2",
"@istanbuljs/load-nyc-config","1.1.0",
"@istanbuljs/schema","0.1.3",
"@jest/console","24.9.0",
"@jest/core","24.9.0",
"@jest/environment","24.9.0",
"@jest/fake-timers","24.9.0",
"@jest/reporters","24.9.0",
"@jest/source-map","24.9.0",
"@jest/test-result","24.9.0",
"@jest/test-sequencer","24.9.0",
"@jest/transform","24.9.0",
"@jest/types","24.9.0",
"@jridgewell/gen-mapping","0.3.3",
"@jridgewell/resolve-uri","3.1.1",
"@jridgewell/resolve-uri","3.1.1",
"@jridgewell/set-array","1.1.2",
"@jridgewell/source-map","0.3.5",
"@jridgewell/sourcemap-codec","1.4.15",
"@jridgewell/sourcemap-codec","1.4.15",
"@jridgewell/trace-mapping","0.3.20",
"@jridgewell/trace-mapping","0.3.9",
"@leichtgewicht/ip-codec","2.0.4",
"@mongodb-js/saslprep","1.1.0",
"@ngtools/webpack","16.2.9",
"@nodelib/fs.scandir","2.1.5",
"@nodelib/fs.stat","2.0.5",
"@nodelib/fs.walk","1.2.8",
"@npmcli/fs","2.1.2",
"@npmcli/fs","3.1.0",
"@npmcli/git","4.1.0",
"@npmcli/installed-package-contents","2.0.2",
"@npmcli/move-file","2.0.1",
"@npmcli/node-gyp","3.0.0",
"@npmcli/promise-spawn","6.0.2",
"@npmcli/run-script","6.0.2",
"@phc/format","0.5.0",
"@pkgjs/parseargs","0.11.0",
"@schematics/angular","16.2.9",
"@sigstore/bundle","1.1.0",
"@sigstore/protobuf-specs","0.2.1",
"@sigstore/sign","1.0.0",
"@sigstore/tuf","1.0.3",
"@sinonjs/commons","1.8.3",
"@sinonjs/formatio","3.2.2",
"@sinonjs/samsam","3.3.3",
"@sinonjs/text-encoding","0.7.1",
"@smithy/abort-controller","2.0.10",
"@smithy/config-resolver","2.0.11",
"@smithy/credential-provider-imds","2.0.13",
"@smithy/eventstream-codec","2.0.10",
"@smithy/fetch-http-handler","2.2.1",
"@smithy/hash-node","2.0.10",
"@smithy/invalid-dependency","2.0.10",
"@smithy/is-array-buffer","2.0.0",
"@smithy/middleware-content-length","2.0.12",
"@smithy/middleware-endpoint","2.0.10",
"@smithy/middleware-retry","2.0.13",
"@smithy/middleware-serde","2.0.10",
"@smithy/middleware-stack","2.0.4",
"@smithy/node-config-provider","2.0.13",
"@smithy/node-http-handler","2.1.6",
"@smithy/property-provider","2.0.11",
"@smithy/protocol-http","3.0.6",
"@smithy/querystring-builder","2.0.10",
"@smithy/querystring-parser","2.0.10",
"@smithy/service-error-classification","2.0.3",
"@smithy/shared-ini-file-loader","2.0.12",
"@smithy/signature-v4","2.0.10",
"@smithy/smithy-client","2.1.9",
"@smithy/types","2.3.4",
"@smithy/url-parser","2.0.10",
"@smithy/util-base64","2.0.0",
"@smithy/util-body-length-browser","2.0.0",
"@smithy/util-body-length-node","2.1.0",
"@smithy/util-buffer-from","2.0.0",
"@smithy/util-config-provider","2.0.0",
"@smithy/util-defaults-mode-browser","2.0.13",
"@smithy/util-defaults-mode-node","2.0.15",
"@smithy/util-hex-encoding","2.0.0",
"@smithy/util-middleware","2.0.3",
"@smithy/util-retry","2.0.3",
"@smithy/util-stream","2.0.14",
"@smithy/util-uri-escape","2.0.0",
"@smithy/util-utf8","2.0.0",
"@socket.io/component-emitter","3.1.0",
"@tootallnate/once","1.1.2",
"@tootallnate/once","2.0.0",
"@tsconfig/node10","1.0.9",
"@tsconfig/node12","1.0.11",
"@tsconfig/node14","1.0.3",
"@tsconfig/node16","1.0.4",
"@tufjs/canonical-json","1.0.0",
"@tufjs/models","1.0.4",
"@tweenjs/tween.js","21.0.0",
"@types/agenda","4.1.0",
"@types/babel__core","7.1.17",
"@types/babel__generator","7.6.3",
"@types/babel__template","7.4.1",
"@types/babel__traverse","7.14.2",
"@types/body-parser","1.19.3",
"@types/body-parser","1.19.4",
"@types/bonjour","3.5.12",
"@types/connect","3.4.36",
"@types/connect","3.4.37",
"@types/connect-history-api-fallback","1.5.2",
"@types/cookie","0.4.1",
"@types/cors","2.8.15",
"@types/eslint","8.44.6",
"@types/eslint-scope","3.7.6",
"@types/eslint-visitor-keys","1.0.0",
"@types/estree","1.0.4",
"@types/express","4.17.18",
"@types/express","4.17.20",
"@types/express-serve-static-core","4.17.37",
"@types/express-serve-static-core","4.17.39",
"@types/http-errors","2.0.2",
"@types/http-errors","2.0.3",
"@types/http-proxy","1.17.13",
"@types/istanbul-lib-coverage","2.0.3",
"@types/istanbul-lib-report","3.0.0",
"@types/istanbul-reports","1.1.2",
"@types/jasmine","4.3.6",
"@types/jest","23.3.14",
"@types/json-schema","7.0.14",
"@types/json-schema","7.0.9",
"@types/lodash","4.14.199",
"@types/mime","1.3.3",
"@types/mime","1.3.4",
"@types/mocha","10.0.2",
"@types/mongoose","5.11.97",
"@types/node","16.18.57",
"@types/node","18.18.13",
"@types/node","20.8.10",
"@types/node-forge","1.3.8",
"@types/qs","6.9.8",
"@types/qs","6.9.9",
"@types/range-parser","1.2.5",
"@types/range-parser","1.2.6",
"@types/retry","0.12.0",
"@types/send","0.17.2",
"@types/send","0.17.3",
"@types/serve-index","1.9.3",
"@types/serve-static","1.15.3",
"@types/serve-static","1.15.4",
"@types/sinonjs__fake-timers","8.1.1",
"@types/sizzle","2.3.8",
"@types/sockjs","0.3.35",
"@types/stack-utils","1.0.1",
"@types/stats.js","0.17.3",
"@types/three","0.158.3",
"@types/triple-beam","1.3.3",
"@types/webidl-conversions","7.0.1",
"@types/webxr","0.5.8",
"@types/whatwg-url","8.2.2",
"@types/ws","8.5.8",
"@types/yargs","13.0.12",
"@types/yargs-parser","20.2.1",
"@types/yauzl","2.10.3",
"@typescript-eslint/eslint-plugin","1.13.0",
"@typescript-eslint/experimental-utils","1.13.0",
"@typescript-eslint/parser","1.13.0",
"@typescript-eslint/typescript-estree","1.13.0",
"@vitejs/plugin-basic-ssl","1.0.1",
"@webassemblyjs/ast","1.11.6",
"@webassemblyjs/floating-point-hex-parser","1.11.6",
"@webassemblyjs/helper-api-error","1.11.6",
"@webassemblyjs/helper-buffer","1.11.6",
"@webassemblyjs/helper-numbers","1.11.6",
"@webassemblyjs/helper-wasm-bytecode","1.11.6",
"@webassemblyjs/helper-wasm-section","1.11.6",
"@webassemblyjs/ieee754","1.11.6",
"@webassemblyjs/leb128","1.11.6",
"@webassemblyjs/utf8","1.11.6",
"@webassemblyjs/wasm-edit","1.11.6",
"@webassemblyjs/wasm-gen","1.11.6",
"@webassemblyjs/wasm-opt","1.11.6",
"@webassemblyjs/wasm-parser","1.11.6",
"@webassemblyjs/wast-printer","1.11.6",
"@wessberg/ts-evaluator","0.0.27",
"@xtuc/ieee754","1.2.0",
"@xtuc/long","4.2.2",
"@yarnpkg/lockfile","1.1.0",
"AuthUser.dll","0.0.0.0",
"AuthUser.dll","0.0.0.0",
"Azure.Core","1.24.0",
"Azure.Identity","1.6.0",
"BCrypt.Net-Next","4.0.3",
"BCrypt.Net-Next","4.0.3.0",
"DroneAPI","1.0.0",
"DroneAPI","1.0.0.0",
"DroneAPI","1.0.0.0",
"DroneAPI","1.0.0.0",
"DroneAPI","1.0.0.0",
"DroneAPI","1.0.0.0",
"DroneAPI","1.0.0.0",
"Json.NET","13.0.1.25517",
"Json.NET BSON","1.0.2.22727",
"Microsoft Azure Client Pipeline","1.2400.22.20404",
"Microsoft Azure.Identity Component","1.600.22.20503",
"Microsoft.AspNetCore.Authentication.JwtBearer","7.0.0",
"Microsoft.AspNetCore.Authentication.JwtBearer","7.0.22.51819",
"Microsoft.AspNetCore.JsonPatch","7.0.0",
"Microsoft.AspNetCore.JsonPatch","7.0.22.51819",
"Microsoft.AspNetCore.Mvc.NewtonsoftJson","7.0.0",
"Microsoft.AspNetCore.Mvc.NewtonsoftJson","7.0.22.51819",
"Microsoft.AspNetCore.OpenApi","7.0.14",
"Microsoft.AspNetCore.OpenApi","7.0.1423.52316",
"Microsoft.Bcl.AsyncInterfaces","1.1.1",
"Microsoft.Bcl.AsyncInterfaces","4.700.20.21406",
"Microsoft.CSharp","4.7.0",
"Microsoft.Data.SqlClient","5.0.1",
"Microsoft.Data.SqlClient","5.0.1",
"Microsoft.Data.SqlClient","5.0.1",
"Microsoft.Data.SqlClient","5.0.1",
"Microsoft.Data.SqlClient.SNI","5.0.1.0",
"Microsoft.Data.SqlClient.SNI","5.0.1.0",
"Microsoft.Data.SqlClient.SNI","5.0.1.0",
"Microsoft.Data.SqlClient.SNI","5.0.1.0",
"Microsoft.Data.SqlClient.SNI.runtime","5.0.1",
"Microsoft.EntityFrameworkCore","7.0.0",
"Microsoft.EntityFrameworkCore","7.0.22.51807",
"Microsoft.EntityFrameworkCore.Abstractions","7.0.0",
"Microsoft.EntityFrameworkCore.Abstractions","7.0.22.51807",
"Microsoft.EntityFrameworkCore.Analyzers","7.0.0",
"Microsoft.EntityFrameworkCore.InMemory","7.0.0",
"Microsoft.EntityFrameworkCore.InMemory","7.0.22.51807",
"Microsoft.EntityFrameworkCore.Relational","7.0.0",
"Microsoft.EntityFrameworkCore.Relational","7.0.22.51807",
"Microsoft.EntityFrameworkCore.SqlServer","7.0.0",
"Microsoft.EntityFrameworkCore.SqlServer","7.0.22.51807",
"Microsoft.Extensions.ApiDescription.Server","6.0.5",
"Microsoft.Extensions.Caching.Abstractions","7.0.0",
"Microsoft.Extensions.Caching.Memory","7.0.0",
"Microsoft.Extensions.Configuration.Abstractions","7.0.0",
"Microsoft.Extensions.DependencyInjection","7.0.0",
"Microsoft.Extensions.DependencyInjection.Abstractions","7.0.0",
"Microsoft.Extensions.Logging","7.0.0",
"Microsoft.Extensions.Logging.Abstractions","7.0.0",
"Microsoft.Extensions.Options","7.0.0",
"Microsoft.Extensions.Primitives","7.0.0",
"Microsoft.Identity.Client","4.45.0",
"Microsoft.Identity.Client","4.45.0.0",
"Microsoft.Identity.Client.Extensions.Msal","2.19.3",
"Microsoft.Identity.Client.Extensions.Msal","2.19.3.0",
"Microsoft.IdentityModel.Abstractions","7.0.3",
"Microsoft.IdentityModel.Abstractions","7.0.3.41017013651.bb354ceabed19189245e075abb864f327b6c14ad",
"Microsoft.IdentityModel.JsonWebTokens","7.0.3",
"Microsoft.IdentityModel.JsonWebTokens","7.0.3.41017013651.bb354ceabed19189245e075abb864f327b6c14ad",
"Microsoft.IdentityModel.Logging","7.0.3",
"Microsoft.IdentityModel.Logging","7.0.3.41017013651.bb354ceabed19189245e075abb864f327b6c14ad",
"Microsoft.IdentityModel.Protocols","6.21.0",
"Microsoft.IdentityModel.Protocols","6.21.0.30701180446.3ba3685a8eb8b1a912c4b46c87a6583133c5d721",
"Microsoft.IdentityModel.Protocols.OpenIdConnect","6.21.0",
"Microsoft.IdentityModel.Protocols.OpenIdConnect","6.21.0.30701180446.3ba3685a8eb8b1a912c4b46c87a6583133c5d721",
"Microsoft.IdentityModel.Tokens","7.0.3",
"Microsoft.IdentityModel.Tokens","7.0.3.41017013651.bb354ceabed19189245e075abb864f327b6c14ad",
"Microsoft.NETCore.Platforms","5.0.0",
"Microsoft.NETCore.Targets","1.1.0",
"Microsoft.OpenApi","1.4.3",
"Microsoft.OpenApi","1.4.3.0",
"Microsoft.SqlServer.Server","1.0.0",
"Microsoft.SqlServer.Server","1.0.0.0",
"Microsoft.Win32.Registry","5.0.0",
"Microsoft.Win32.SystemEvents","5.0.0",
"Microsoft.Win32.SystemEvents","5.0.20.51904",
"Microsoft.Win32.SystemEvents","5.0.20.51904",
"Newtonsoft.Json","13.0.1",
"Newtonsoft.Json.Bson","1.0.2",
"Notifu","1.7",
"Notifu","1.7",
"Swashbuckle.AspNetCore","6.5.0",
"Swashbuckle.AspNetCore.Swagger","6.5.0",
"Swashbuckle.AspNetCore.Swagger","6.5.0.0",
"Swashbuckle.AspNetCore.SwaggerGen","6.5.0",
"Swashbuckle.AspNetCore.SwaggerGen","6.5.0.0",
"Swashbuckle.AspNetCore.SwaggerUI","6.5.0",
"Swashbuckle.AspNetCore.SwaggerUI","6.5.0.0",
"System.Buffers","4.5.1",
"System.Configuration.ConfigurationManager","5.0.0",
"System.Configuration.ConfigurationManager","5.0.20.51904",
"System.Diagnostics.DiagnosticSource","5.0.0",
"System.Drawing.Common","5.0.0",
"System.Drawing.Common","5.0.20.51904",
"System.Drawing.Common","5.0.20.51904",
"System.Drawing.Common","5.0.20.51904",
"System.Formats.Asn1","5.0.0",
"System.Globalization","4.3.0",
"System.IO","4.3.0",
"System.IdentityModel.Tokens.Jwt","7.0.3",
"System.IdentityModel.Tokens.Jwt","7.0.3.41017013651.bb354ceabed19189245e075abb864f327b6c14ad",
"System.Memory","4.5.4",
"System.Memory.Data","1.0.2",
"System.Memory.Data","1.0.221.20802",
"System.Numerics.Vectors","4.5.0",
"System.Reflection","4.3.0",
"System.Reflection.Primitives","4.3.0",
"System.Resources.ResourceManager","4.3.0",
"System.Runtime","4.3.0",
"System.Runtime.Caching","5.0.0",
"System.Runtime.Caching","5.0.20.51904",
"System.Runtime.Caching","5.0.20.51904",
"System.Security.AccessControl","5.0.0",
"System.Security.Cryptography.Cng","5.0.0",
"System.Security.Cryptography.ProtectedData","5.0.0",
"System.Security.Cryptography.ProtectedData","5.0.20.51904",
"System.Security.Cryptography.ProtectedData","5.0.20.51904",
"System.Security.Permissions","5.0.0",
"System.Security.Permissions","5.0.20.51904",
"System.Security.Principal.Windows","5.0.0",
"System.Text.Encoding","4.3.0",
"System.Text.Encoding.CodePages","5.0.0",
"System.Text.Encodings.Web","4.7.2",
"System.Text.Json","4.7.2",
"System.Threading.Tasks","4.3.0",
"System.Threading.Tasks.Extensions","4.5.4",
"System.Windows.Extensions","5.0.0",
"System.Windows.Extensions","5.0.20.51904",
"System.Windows.Extensions","5.0.20.51904",
"abab","2.0.5",
"abab","2.0.6",
"abbrev","1.1.1",
"abbrev","1.1.1",
"accept","3.1.3",
"accepts","1.3.7",
"accepts","1.3.8",
"accepts","1.3.8",
"acorn","5.7.4",
"acorn","6.4.2",
"acorn","7.4.1",
"acorn","7.4.1",
"acorn","8.10.0",
"acorn","8.11.2",
"acorn-globals","4.3.4",
"acorn-globals","6.0.0",
"acorn-import-assertions","1.9.0",
"acorn-jsx","5.3.2",
"acorn-walk","6.2.0",
"acorn-walk","7.2.0",
"acorn-walk","8.2.0",
"actions/checkout","v1",
"actions/checkout","v1",
"actions/checkout","v1",
"actions/checkout","v1",
"actions/checkout","v1",
"actions/checkout","v1",
"actions/checkout","v1",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v2",
"actions/checkout","v3",
"actions/checkout","v3",
"actions/checkout","v3",
"actions/checkout","v3",
"actions/checkout","v3",
"actions/checkout","v4",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v1",
"actions/setup-node","v3",
"actions/setup-node","v3",
"actions/setup-node","v3",
"actions/setup-python","v4",
"actions/setup-python","v4",
"actions/setup-python","v4",
"adjust-sourcemap-loader","4.0.0",
"agenda","2.3.0",
"agendash","1.0.0",
"agent-base","4.2.1",
"agent-base","4.3.0",
"agent-base","6.0.2",
"agentkeepalive","4.5.0",
"aggregate-error","3.1.0",
"ajv","6.12.6",
"ajv","6.12.6",
"ajv","8.12.0",
"ajv-formats","2.1.1",
"ajv-keywords","3.5.2",
"ajv-keywords","5.1.0",
"ammo","3.0.3",
"ansi-colors","4.1.1",
"ansi-colors","4.1.3",
"ansi-escapes","3.2.0",
"ansi-escapes","4.3.2",
"ansi-html-community","0.0.8",
"ansi-regex","3.0.0",
"ansi-regex","4.1.1",
"ansi-regex","5.0.1",
"ansi-regex","5.0.1",
"ansi-regex","6.0.1",
"ansi-styles","3.2.1",
"ansi-styles","3.2.1",
"ansi-styles","4.3.0",
"ansi-styles","4.3.0",
"ansi-styles","6.2.1",
"anymatch","2.0.0",
"anymatch","3.1.2",
"anymatch","3.1.3",
"appleboy/ssh-action","master",
"aproba","2.0.0",
"arch","2.2.0",
"are-we-there-yet","3.0.1",
"arg","4.1.3",
"argon2","0.21.0",
"argparse","1.0.10",
"argparse","1.0.10",
"argparse","2.0.1",
"argparse","2.0.1",
"arr-diff","4.0.0",
"arr-flatten","1.1.0",
"arr-union","3.1.0",
"array-equal","1.0.0",
"array-flatten","1.1.1",
"array-flatten","1.1.1",
"array-flatten","2.1.2",
"array-from","2.1.1",
"array-unique","0.3.2",
"asn1","0.2.6",
"asn1","0.2.6",
"assert-plus","1.0.0",
"assert-plus","1.0.0",
"assertion-error","1.1.0",
"assign-symbols","1.0.0",
"ast-types","0.14.2",
"astral-regex","1.0.0",
"astral-regex","2.0.0",
"async","1.5.2",
"async","2.6.4",
"async","3.2.4",
"async","3.2.5",
"async-limiter","1.0.1",
"asynckit","0.4.0",
"asynckit","0.4.0",
"at-least-node","1.0.0",
"atob","2.1.2",
"autoprefixer","10.4.14",
"aws-sign2","0.7.0",
"aws-sign2","0.7.0",
"aws4","1.11.0",
"aws4","1.12.0",
"b64","4.1.2",
"babel-jest","24.9.0",
"babel-loader","9.1.3",
"babel-plugin-istanbul","5.2.0",
"babel-plugin-istanbul","6.1.1",
"babel-plugin-jest-hoist","24.9.0",
"babel-plugin-polyfill-corejs2","0.4.6",
"babel-plugin-polyfill-corejs3","0.8.6",
"babel-plugin-polyfill-regenerator","0.5.3",
"babel-preset-jest","24.9.0",
"balanced-match","1.0.2",
"balanced-match","1.0.2",
"base","0.11.2",
"base64-js","1.5.1",
"base64-js","1.5.1",
"base64id","2.0.0",
"basic-auth","2.0.1",
"batch","0.6.1",
